127.0.0.1, 2017-06-01 23:32:04, GET, /, HTTP/1.1, 303, 0.001110
127.0.0.1, 2017-06-01 23:32:05, GET, /welcome/default/index, HTTP/1.1, 200, 1.126646
127.0.0.1, 2017-06-01 23:32:05, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000714
127.0.0.1, 2017-06-01 23:32:05, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001056
127.0.0.1, 2017-06-01 23:32:05, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000498
127.0.0.1, 2017-06-01 23:32:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000460
127.0.0.1, 2017-06-01 23:32:05, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000491
127.0.0.1, 2017-06-01 23:32:05, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000482
127.0.0.1, 2017-06-01 23:32:05, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004850
127.0.0.1, 2017-06-01 23:32:05, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000495
127.0.0.1, 2017-06-01 23:32:05, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000954
127.0.0.1, 2017-06-01 23:32:05, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000695
127.0.0.1, 2017-06-01 23:32:06, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000505
127.0.0.1, 2017-06-01 23:32:06, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000359
127.0.0.1, 2017-06-01 23:32:06, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000474
127.0.0.1, 2017-06-01 23:32:06, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001567
127.0.0.1, 2017-06-01 23:32:06, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000447
127.0.0.1, 2017-06-01 23:32:06, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000520
127.0.0.1, 2017-06-01 23:32:31, GET, /admin/default/site, HTTP/1.1, 303, 0.082087
127.0.0.1, 2017-06-01 23:32:31, GET, /admin/default/index, HTTP/1.1, 200, 0.054053
127.0.0.1, 2017-06-01 23:32:31, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2017-06-01 23:32:31, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001347
127.0.0.1, 2017-06-01 23:32:31, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.000485
